sep=,
0,-0.7003120594377381
1,-0.7003120594377381
2,-0.9586969062252938
3,-0.9586969062252938
4,-1.0105644959990563
5,-1.0105644959990563
6,-1.0105644959990563
7,-1.0105644959990563
8,-1.0129183760525804
9,-1.0129183760525804
10,-1.0129183760525804
11,-1.0129183760525804
12,-1.0129183760525804
13,-1.0129183760525804
14,-1.0129183760525804
15,-1.0129183760525804
16,-1.0129183760525804
17,-1.0129183760525804
18,-1.0129183760525804
19,-1.017739613744292
20,-1.017739613744292
21,-1.017739613744292
22,-1.017739613744292
23,-1.02064503837621
24,-1.0311702347860676
25,-1.0314863175201316
26,-1.0314863175201316
27,-1.0314863175201316
28,-1.0314863175201316
29,-1.0314863175201316
30,-1.0314863175201316
31,-1.0314863175201316
32,-1.0314863175201316
33,-1.0314863175201316
34,-1.0314863175201316
35,-1.0314863175201316
36,-1.0314863175201316
37,-1.0314863175201316
38,-1.0314863175201316
39,-1.0314863175201316
40,-1.0314863175201316
41,-1.0314863175201316
42,-1.0314863175201316
43,-1.0314863175201316
44,-1.0314863175201316
45,-1.0314863175201316
46,-1.0314863175201316
47,-1.0314863175201316
48,-1.0314863175201316
49,-1.0314863175201316
50,-1.0314863175201316
51,-1.0314863175201316
52,-1.0314863175201316
53,-1.0314863175201316
54,-1.0314863175201316
55,-1.0314863175201316
56,-1.0314863175201316
57,-1.0314863175201316
58,-1.0314863175201316
59,-1.0314863175201316
60,-1.0314863175201316
61,-1.0314863175201316
62,-1.0314863175201316
63,-1.0314863175201316
64,-1.0314863175201316
65,-1.0314863175201316
66,-1.0314863175201316
67,-1.0314863175201316
68,-1.0314863175201316
69,-1.0314863175201316
70,-1.0314863175201316
71,-1.0314863175201316
72,-1.0314863175201316
73,-1.0314863175201316
74,-1.0314863175201316
75,-1.0314863175201316
76,-1.0314863175201316
77,-1.0314863175201316
78,-1.0314863175201316
79,-1.0314863175201316
80,-1.0314863175201316
81,-1.0314863175201316
82,-1.0314863175201316
83,-1.0314863175201316
84,-1.0314863175201316
85,-1.0314863175201316
86,-1.0314863175201316
87,-1.0314863175201316
88,-1.0314863175201316
89,-1.0314863175201316
90,-1.0314863175201316
91,-1.0314863175201316
92,-1.0314863175201316
93,-1.0314863175201316
94,-1.0314863175201316
95,-1.0314863175201316
96,-1.0314863175201316
97,-1.0314863175201316
98,-1.0314863175201316
99,-1.0314863175201316
100,-1.0314863175201316
101,-1.0314863175201316
102,-1.0314863175201316
103,-1.0314863175201316
104,-1.0314863175201316
105,-1.0314863175201316
106,-1.0314919907455447
107,-1.0314919907455447
108,-1.0314919907455447
109,-1.0314919907455447
110,-1.0314919907455447
111,-1.0314919907455447
112,-1.0314919907455447
113,-1.0314919907455447
114,-1.031499040055467
115,-1.031499040055467
116,-1.031499040055467
117,-1.031499040055467
118,-1.031499040055467
119,-1.031499040055467
120,-1.031499040055467
121,-1.031499040055467
122,-1.031499040055467
123,-1.031499040055467
124,-1.031499040055467
125,-1.031499040055467
126,-1.031499040055467
127,-1.031499040055467
128,-1.031499040055467
129,-1.031499040055467
130,-1.031499040055467
131,-1.031499040055467
132,-1.031499040055467
133,-1.031499040055467
134,-1.031499040055467
135,-1.031499040055467
136,-1.031499040055467
137,-1.031499040055467
138,-1.031499040055467
139,-1.031499040055467
140,-1.031499040055467
141,-1.031499040055467
142,-1.031499040055467
143,-1.031499040055467
144,-1.031499040055467
145,-1.031499040055467
146,-1.031499040055467
147,-1.031499040055467
148,-1.031499040055467
149,-1.031499040055467
150,-1.031499040055467
151,-1.031499040055467
152,-1.031499040055467
153,-1.031499040055467
154,-1.031499040055467
155,-1.0316009538372244
156,-1.0316009538372244
157,-1.0316009538372244
158,-1.0316009538372244
159,-1.0316009538372244
160,-1.0316009538372244
161,-1.0316009538372244
162,-1.0316009538372244
163,-1.0316009538372244
164,-1.0316009538372244
165,-1.0316009538372244
166,-1.0316009538372244
167,-1.0316009538372244
168,-1.0316009538372244
169,-1.0316009538372244
170,-1.0316009538372244
171,-1.0316009538372244
172,-1.0316009538372244
173,-1.0316009538372244
174,-1.0316009538372244
175,-1.0316009538372244
176,-1.0316009538372244
177,-1.0316009538372244
178,-1.0316009538372244
179,-1.0316009538372244
180,-1.0316009538372244
181,-1.0316009538372244
182,-1.0316009538372244
183,-1.0316009538372244
184,-1.0316009538372244
185,-1.0316009538372244
186,-1.0316009538372244
187,-1.0316009538372244
188,-1.0316009538372244
189,-1.0316009538372244
190,-1.0316009538372244
191,-1.0316009538372244
192,-1.0316009538372244
193,-1.0316009538372244
194,-1.0316009538372244
195,-1.0316009538372244
196,-1.0316009538372244
197,-1.0316009538372244
198,-1.0316009538372244
199,-1.0316009538372244
200,-1.0316009538372244
201,-1.0316009538372244
202,-1.0316009538372244
203,-1.0316009538372244
204,-1.0316009538372244
205,-1.0316009538372244
206,-1.0316009538372244
207,-1.0316009538372244
208,-1.0316009538372244
209,-1.0316009538372244
210,-1.0316098226902426
211,-1.0316098226902426
212,-1.0316098226902426
213,-1.0316098226902426
214,-1.0316283432322497
215,-1.0316283432322497
216,-1.0316283432322497
217,-1.0316283432322497
218,-1.0316283432322497
219,-1.0316283432322497
220,-1.0316283432322497
221,-1.0316283432322497
222,-1.0316283432322497
223,-1.0316283432322497
224,-1.0316283432322497
225,-1.0316283432322497
226,-1.0316283432322497
227,-1.0316283432322497
228,-1.0316283432322497
229,-1.0316283432322497
230,-1.0316283432322497
