sep=,
0,1047.703561250536
1,1047.703561250536
2,173.8171296093754
3,29.17988580480985
4,29.17988580480985
5,29.178298606987283
6,25.412302524226092
7,25.231708621556983
8,25.231708621556983
9,25.228832992258436
10,17.838498555782394
11,14.430508331814298
12,14.203451593229847
13,14.203451593229847
14,11.553998755485024
15,11.540020385807532
16,11.539697975090657
17,11.525060946893698
18,8.898924804593452
19,8.898924804593452
20,8.849541123635639
21,8.80381415134959
22,8.80381415134959
23,8.363086721632746
24,8.35719766552354
25,8.35719766552354
26,8.23905449855796
27,8.23905449855796
28,7.730810814253683
29,7.710638773327222
30,6.433508445927954
31,6.320843972523943
32,6.13155571747153
33,6.126000983437787
34,6.116135714105331
35,5.90736338735544
36,5.474407461657747
37,5.474407461657747
38,5.474407461657747
39,4.586065308155778
40,4.206310813410704
41,4.206310813410704
42,3.8431546116238877
43,3.46262005678677
44,3.3835585191319923
45,3.3709064032905416
46,3.3460527872549632
47,3.3460527872549632
48,2.767129150176091
49,2.767129150176091
50,2.7390169279733168
51,2.7390169279733168
52,2.6034375055726233
53,2.6021152432848127
54,2.3385418873010386
55,2.3385418873010386
56,2.327171498602877
57,2.273926286690931
58,2.21016313421858
59,2.21016313421858
60,2.2020337486577466
61,1.9807186623218132
62,1.9708673530692227
63,1.9708673530692227
64,1.9708673530692227
65,1.9683291500429108
66,1.9683291500429108
67,1.9683291500429108
68,1.9590268179166122
69,1.9490146315640964
70,1.9418770980294568
71,1.8783753073720848
72,1.8783753073720848
73,1.8783753073720848
74,1.878070459885374
75,1.8534563248685354
76,1.8534563248685354
77,1.8534563248685354
78,1.7101490239082608
79,1.7101490239082608
80,1.7099085536863612
81,1.7099085536863612
82,1.5048248658324963
83,1.5048248658324963
84,1.5032521224937248
85,1.5032521224937248
86,1.3898654122760572
87,1.3898654122760572
88,1.384998253664137
89,1.384998253664137
90,1.384998253664137
91,1.384998253664137
92,1.384998253664137
93,1.384998253664137
94,1.2432738223156263
95,1.2432738223156263
96,1.2414151341050397
97,1.2414151341050397
98,1.2414151341050397
99,1.2414151341050397
100,1.22567510910867
101,1.22567510910867
102,1.22567510910867
103,1.22567510910867
104,1.22567510910867
105,1.22567510910867
106,1.22567510910867
107,1.22567510910867
108,1.22567510910867
109,1.22567510910867
110,1.22567510910867
111,1.22567510910867
112,1.22567510910867
113,1.2062892625414856
114,1.2062892625414856
115,1.2062892625414856
116,1.2062892625414856
117,1.2062892625414856
118,1.2026495492574758
119,1.2026495492574758
120,1.19716932753437
121,1.19716932753437
122,0.75763966130045
123,0.75763966130045
124,0.75763966130045
125,0.75763966130045
126,0.7434869136281118
127,0.7434869136281118
128,0.7434869136281118
129,0.7434869136281118
130,0.7434869136281118
131,0.7434869136281118
132,0.7434869136281118
133,0.7434869136281118
134,0.7273066634012645
135,0.7273066634012645
136,0.7273066634012645
137,0.7273066634012645
138,0.5733508266390898
139,0.5733508266390898
140,0.5733508266390898
141,0.5733508266390898
142,0.3778084047811052
143,0.3778084047811052
144,0.3778084047811052
145,0.3778084047811052
146,0.3778084047811052
147,0.3614233975879063
148,0.3614233975879063
149,0.3614233975879063
150,0.3614233975879063
151,0.3614233975879063
152,0.3614233975879063
153,0.3614233975879063
154,0.3614233975879063
155,0.3614233975879063
156,0.3614233975879063
157,0.3614233975879063
158,0.3614233975879063
159,0.3614233975879063
160,0.3614233975879063
161,0.3614233975879063
162,0.3614233975879063
163,0.3614233975879063
164,0.3614233975879063
165,0.3614233975879063
166,0.3614233975879063
167,0.33691784737312
168,0.33691784737312
169,0.33691784737312
170,0.33691784737312
171,0.33691784737312
172,0.33691784737312
173,0.33691784737312
174,0.33691784737312
175,0.33691784737312
176,0.33691784737312
177,0.33691784737312
178,0.33691784737312
179,0.33691784737312
180,7.376707265730768e-2
181,7.376707265730768e-2
182,7.376707265730768e-2
183,7.376707265730768e-2
184,-4.2692669648469156e-2
185,-4.2692669648469156e-2
186,-4.2692669648469156e-2
187,-4.2692669648469156e-2
188,-0.1014852960599188
189,-0.1014852960599188
190,-0.1014852960599188
191,-0.1014852960599188
192,-0.1014852960599188
193,-0.1014852960599188
194,-0.1014852960599188
195,-0.12145590745207518
196,-0.12145590745207518
197,-0.12145590745207518
198,-0.12145590745207518
199,-0.12145590745207518
200,-0.3223120133278253
201,-0.3223120133278253
202,-0.3223120133278253
203,-0.3223120133278253
204,-0.3271072837961169
205,-0.3271072837961169
206,-0.3271072837961169
207,-0.3271072837961169
208,-0.34183289157377544
209,-0.34183289157377544
210,-0.34183289157377544
211,-0.34183289157377544
212,-0.34183289157377544
213,-0.34183289157377544
214,-0.34183289157377544
215,-0.34183289157377544
216,-0.34183289157377544
217,-0.34183289157377544
218,-0.34183289157377544
219,-0.34183289157377544
220,-0.34183289157377544
221,-0.34183289157377544
222,-0.34183289157377544
223,-0.34183289157377544
224,-0.34183289157377544
225,-0.34183289157377544
226,-0.34183289157377544
227,-0.3944465344493343
228,-0.3944465344493343
229,-0.3944465344493343
230,-0.3944465344493343
231,-0.462661761205061
232,-0.462661761205061
233,-0.462661761205061
234,-0.462661761205061
235,-0.462661761205061
236,-0.47733031332641623
237,-0.47733031332641623
238,-0.47733031332641623
239,-0.47733031332641623
240,-0.47733031332641623
241,-0.47733031332641623
242,-0.47733031332641623
243,-0.47733031332641623
244,-0.47733031332641623
245,-0.47733031332641623
246,-0.47733031332641623
247,-0.5341596805713514
248,-0.5341596805713514
249,-0.5341596805713514
