sep=,
0,973.1091582947988
1,973.1091582947988
2,229.30845490004495
3,39.29404543178126
4,5.800889671002502
5,1.9539502548434897
6,0.7351243635326067
7,0.18803904683807748
8,-9.358167588926923e-2
9,-0.20938751358033397
10,-0.24104829731215957
11,-0.33568045233861277
12,-0.35257709651074004
13,-0.4220583778628513
14,-0.42228070005919066
15,-0.4384374758185092
16,-0.4428866897829251
17,-0.4888828944607225
18,-0.4965625154950269
19,-0.5240734315062177
20,-0.5542836975093359
21,-0.5863400070769778
22,-0.5900103407995296
23,-0.5988909254640605
24,-0.6125598622408738
25,-0.6926860787165577
26,-0.6952466678704258
27,-0.6952466678704258
28,-0.7048250412494341
29,-0.8227581814140595
30,-0.8227581814140595
31,-0.8227581814140595
32,-0.8227581814140595
33,-0.8355037094500869
34,-0.842926143840785
35,-0.8431048226557094
36,-0.8431048226557094
37,-0.866069609598395
38,-0.8829002740287889
39,-0.8829002740287889
40,-0.8829002740287889
41,-0.8829002740287889
42,-0.8996957416923614
43,-0.8996957416923614
44,-0.8996957416923614
45,-0.8996957416923614
46,-0.9018951153728095
47,-0.9061617804553324
48,-0.9093129695844097
49,-0.9093796262154977
50,-0.9124213295358733
51,-0.917232739220971
52,-0.919971471095292
53,-0.923698596149879
54,-0.9242445184798693
55,-0.929012738737565
56,-0.929012738737565
57,-0.9303456723761705
58,-0.9303456723761705
59,-0.9303456723761705
60,-0.9308744802607412
61,-0.9308744802607412
62,-0.9325605236526845
63,-0.9327351484453514
64,-0.932859599951747
65,-0.932859599951747
66,-0.9349704841867809
67,-0.939234431190158
68,-0.939234431190158
69,-0.9401902342547497
70,-0.9401902342547497
71,-0.945803362596484
72,-0.9458463972589659
73,-0.9466455522194154
74,-0.9466455522194154
75,-0.947909486940792
76,-0.94825482206645
77,-0.94825482206645
78,-0.94825482206645
79,-0.9579943237428681
80,-0.9579943237428681
81,-0.9581677531068711
82,-0.9581677531068711
83,-0.9581677531068711
84,-0.9634246850709942
85,-0.9638213398879162
86,-0.9638213398879162
87,-0.9638213398879162
88,-0.9675294561534216
89,-0.9675294561534216
90,-0.9675294561534216
91,-0.9675294561534216
92,-0.9675636895982381
93,-0.9699081643992784
94,-0.9699081643992784
95,-0.9699081643992784
96,-0.9699081643992784
97,-0.9710466446844367
98,-0.9710466446844367
99,-0.9710466446844367
100,-0.9711835244713012
101,-0.9711835244713012
102,-0.9717116007182863
103,-0.972116583845733
104,-0.972116583845733
105,-0.9733007650342145
106,-0.9766131241755096
107,-0.9769629454033663
108,-0.9777719533987852
109,-0.9783108086417732
110,-0.9788452311141436
111,-0.9803765711120525
112,-0.9803765711120525
113,-0.9803765711120525
114,-0.980491159368502
115,-0.980491159368502
116,-0.9806691907194457
117,-0.9815750656534852
118,-0.9815750656534852
119,-0.9818904098224508
120,-0.9843356706653066
121,-0.9843356706653066
122,-0.9843356706653066
123,-0.9843356706653066
124,-0.9867317728403898
125,-0.9885961898425506
126,-0.9885961898425506
127,-0.9885961898425506
128,-0.9885961898425506
129,-0.9885961898425506
130,-0.9885961898425506
131,-0.9901104625659326
132,-0.9901104625659326
133,-0.9913904726527492
134,-0.9918209595658977
135,-0.9918209595658977
136,-0.9918209595658977
137,-0.9918209595658977
138,-0.9918209595658977
139,-0.9936085562055592
140,-0.9936085562055592
141,-0.9936085562055592
142,-0.9936899928665656
143,-0.9979564710945888
144,-0.9979564710945888
145,-0.9979564710945888
146,-0.9979564710945888
147,-0.9979564710945888
148,-0.9979564710945888
149,-0.9979564710945888
150,-0.9979564710945888
151,-0.9979564710945888
152,-0.9995598674340153
153,-0.9995598674340153
154,-0.9995598674340153
155,-0.9999149665823507
156,-0.9999149665823507
157,-1.0004987591145988
158,-1.0004987591145988
159,-1.00062065070684
160,-1.00062065070684
161,-1.0027661998168116
162,-1.0027661998168116
163,-1.0027661998168116
164,-1.0027661998168116
165,-1.0034890108221903
166,-1.0034890108221903
167,-1.0034890108221903
168,-1.0034890108221903
169,-1.0034890108221903
170,-1.0034890108221903
171,-1.0034890108221903
172,-1.0047542751934353
173,-1.0047542751934353
174,-1.005363363423113
175,-1.005363363423113
176,-1.005363363423113
177,-1.005363363423113
178,-1.0054216904347246
179,-1.0076517777962328
180,-1.0077103063321298
181,-1.0077103063321298
182,-1.0077103063321298
183,-1.0077103063321298
184,-1.0078148230692932
185,-1.0078148230692932
186,-1.0078148230692932
187,-1.0078148230692932
188,-1.0078148230692932
189,-1.007984704758429
190,-1.007984704758429
191,-1.007984704758429
192,-1.007984704758429
193,-1.0083710285872363
194,-1.0083710285872363
195,-1.0083710285872363
196,-1.0083710285872363
197,-1.0083710285872363
198,-1.0083710285872363
199,-1.0083710285872363
200,-1.0083710285872363
201,-1.0083710285872363
202,-1.0083710285872363
203,-1.0083710285872363
204,-1.0083710285872363
205,-1.0083710285872363
206,-1.0083710285872363
207,-1.0083710285872363
208,-1.0083710285872363
209,-1.0083710285872363
210,-1.0114125870449628
211,-1.0114125870449628
212,-1.0114125870449628
213,-1.0114125870449628
214,-1.0179104801632823
215,-1.0179104801632823
216,-1.0179104801632823
217,-1.0179104801632823
218,-1.0179104801632823
219,-1.0179104801632823
220,-1.0179104801632823
221,-1.0183156254472698
222,-1.0183156254472698
223,-1.0183156254472698
224,-1.019743301453843
225,-1.019743301453843
